,#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
40,191,Goran Dragic,CHI,42,16.3,7.2,2.8,6.5,43.3,1.0,2.7,36.3,0.6,0.9,64.9,0.3,1.2,1.5,2.8,0.2,0.1,1.1,6.6
41,192,Mo Bamba,ORL,38,17.2,7.2,2.6,5.3,49.3,1.0,2.6,39.0,0.9,1.3,68.6,1.2,3.5,4.7,1.1,0.3,1.0,0.6,10.5
42,193,Obi Toppin,NYK,35,15.6,6.9,2.6,6.1,42.3,1.3,3.5,37.2,0.5,0.6,81.0,0.5,2.9,3.4,0.9,0.4,0.2,0.6,7.6
43,194,Jock Landale,PHX,42,14.6,6.9,2.6,5.0,51.9,0.4,1.5,27.0,1.4,1.6,83.8,1.7,2.3,4.0,0.9,0.2,0.5,1.0,9.0
44,195,Talen Horton-Tucker,UTA,41,15.4,6.9,2.6,6.4,40.3,0.7,2.6,25.5,1.1,1.5,73.3,0.4,1.9,2.3,2.4,0.7,0.3,1.2,7.2
45,196,Kendrick Nunn,WAS,40,13.8,6.9,2.7,6.5,41.2,1.1,3.3,32.8,0.4,0.5,81.0,0.2,1.3,1.5,1.0,0.3,0.1,0.8,5.0
46,197,Troy Brown Jr.,LAL,43,23.7,6.8,2.6,5.9,43.1,1.2,3.4,35.4,0.5,0.5,100.0,0.7,3.2,3.9,0.9,0.8,0.2,0.7,8.5
47,198,Edmond Sumner,BKN,40,13.8,6.8,2.3,4.8,46.6,0.5,1.6,32.3,1.8,2.0,92.3,0.3,1.3,1.5,1.4,0.7,0.2,0.9,6.9
48,199,Isaiah Jackson,IND,38,15.5,6.7,2.6,4.7,55.4,0.0,0.2,11.1,1.6,2.3,67.8,1.4,2.5,3.9,0.9,0.4,1.4,0.9,9.7
49,200,Kevon Looney,GSW,49,23.3,6.7,2.8,4.4,64.2,0.0,0.0,0.0,1.1,1.8,60.7,3.0,5.7,8.7,2.8,0.5,0.5,0.5,16.4
0,201,Dwight Powell,DAL,45,18.9,6.7,2.5,3.4,72.9,0.0,0.1,0.0,1.6,2.3,70.5,1.9,2.0,3.9,0.6,0.5,0.4,0.8,9.7
1,201,Jordan Goodwin,WAS,36,18.8,6.7,2.6,5.6,45.8,0.7,1.8,40.6,0.8,1.1,75.0,0.9,2.5,3.4,2.7,1.1,0.5,0.9,10.1
2,203,Yuta Watanabe,BKN,35,18.2,6.7,2.4,4.6,51.9,1.2,2.6,47.8,0.6,0.9,73.3,0.7,2.0,2.8,0.8,0.5,0.3,0.4,8.2
3,204,Aaron Wiggins,OKC,38,18.3,6.5,2.4,4.9,50.0,0.7,1.8,38.8,0.9,1.1,81.0,1.1,2.3,3.4,1.5,0.5,0.2,0.9,8.5
4,205,Terence Davis,SAC,35,12.7,6.5,2.3,5.5,42.2,1.2,3.6,34.1,0.6,0.7,87.5,0.4,2.0,2.4,1.3,0.7,0.3,0.9,7.0
5,206,Wenyen Gabriel,LAL,40,15.7,6.4,2.7,4.3,62.6,0.2,0.6,36.0,0.9,1.3,64.2,1.7,2.4,4.0,0.5,0.4,0.6,0.7,9.1
6,207,John Konchar,MEM,43,23.2,6.3,2.4,5.4,43.6,1.1,3.0,36.4,0.5,0.5,87.0,1.0,4.0,4.9,1.5,1.1,0.3,0.6,10.3
7,208,Nicolas Batum,LAC,48,22.2,6.3,2.1,4.9,43.2,1.6,3.9,40.2,0.5,0.7,64.7,0.9,3.4,4.3,1.5,0.6,0.8,0.7,9.7
8,209,David Roddy,MEM,42,18.1,6.2,2.4,5.9,40.7,0.9,3.0,28.3,0.6,1.0,58.1,0.6,2.1,2.7,0.7,0.5,0.3,0.9,5.5
9,210,Reggie Bullock,DAL,48,29.4,6.2,2.1,5.6,37.5,1.6,4.6,35.0,0.4,0.6,65.5,0.5,2.9,3.4,1.2,0.7,0.2,0.4,7.6
10,211,Patrick Beverley,LAL,40,26.5,6.2,2.1,5.3,39.4,1.2,3.5,33.6,0.8,1.0,82.1,0.6,2.7,3.2,2.4,0.9,0.6,1.0,8.9
11,212,Jordan Nwora,MIL,36,16.0,6.2,2.0,5.3,38.4,1.1,2.8,39.4,1.0,1.2,86.0,0.7,2.4,3.1,1.0,0.3,0.2,0.9,6.4
12,213,Andre Drummond,CHI,36,13.0,6.1,2.6,4.3,61.0,0.0,0.1,0.0,0.9,1.7,53.2,2.2,4.4,6.6,0.6,0.6,0.3,1.0,10.8
13,214,Montrezl Harrell,PHI,43,13.0,6.0,2.3,3.9,59.9,0.0,0.0,0.0,1.4,2.0,69.4,1.3,1.6,2.9,0.7,0.3,0.6,0.7,7.6
14,215,Davion Mitchell,SAC,46,18.4,6.0,2.4,5.2,46.1,0.8,2.4,33.9,0.3,0.4,75.0,0.2,1.2,1.4,2.1,0.5,0.2,0.9,6.4
15,216,Kevin Knox II,DET,38,14.7,6.0,2.1,4.5,46.8,1.1,2.9,37.3,0.7,0.9,78.8,0.4,2.1,2.5,0.4,0.3,0.3,0.7,6.2
16,217,Derrick Jones Jr.,CHI,37,15.5,5.9,2.2,4.1,53.3,0.4,1.2,34.1,1.2,1.5,78.6,1.0,1.7,2.7,0.7,0.4,0.7,0.5,7.8
17,218,Isaac Okoro,CLE,51,20.2,5.8,2.1,4.4,47.6,0.7,2.1,33.3,1.0,1.3,72.1,0.7,1.9,2.6,1.0,0.7,0.4,0.6,7.3
18,219,Oshae Brissett,IND,44,16.4,5.8,1.8,4.6,39.3,0.8,2.4,32.7,1.4,2.0,69.8,0.9,2.5,3.4,0.6,0.6,0.2,0.5,6.6
19,220,Mike Muscala,OKC,38,14.4,5.7,1.9,4.5,41.9,1.2,3.1,37.0,0.7,0.9,80.0,0.5,2.6,3.1,0.8,0.2,0.5,0.4,7.1
20,221,Sam Hauser,BOS,48,14.8,5.7,2.0,4.6,43.4,1.5,3.8,39.1,0.2,0.3,66.7,0.4,2.0,2.4,0.7,0.3,0.2,0.3,6.3
21,222,Drew Eubanks,POR,46,18.7,5.7,2.4,3.3,72.8,0.1,0.1,50.0,0.8,1.2,64.9,1.5,3.1,4.6,1.0,0.5,1.2,0.8,10.8
22,223,Austin Rivers,MIN,39,21.2,5.6,2.0,4.3,46.2,0.9,2.5,35.7,0.7,0.8,83.9,0.1,1.7,1.8,1.5,0.6,0.1,0.5,6.5
23,224,Theo Maledon,CHA,36,16.1,5.6,1.8,4.4,41.4,0.6,1.8,33.3,1.4,1.6,87.5,0.3,2.1,2.4,2.4,0.8,0.2,1.0,7.5
24,225,Alex Caruso,CHI,42,24.6,5.5,1.9,4.4,43.0,0.9,2.2,38.7,0.9,1.1,77.1,0.6,2.4,3.0,3.3,1.7,0.7,1.3,10.2
25,226,Jalen Johnson,ATL,46,14.7,5.2,2.0,4.2,47.4,0.4,1.5,28.6,0.8,1.2,69.1,0.7,3.0,3.7,1.0,0.5,0.5,0.5,7.8
26,227,Josh Okogie,PHX,43,13.2,5.2,1.7,4.2,39.4,0.5,1.7,29.3,1.4,1.9,72.0,1.5,1.7,3.2,1.1,0.6,0.5,0.9,6.6
27,228,Moses Moody,GSW,39,14.8,5.2,1.8,4.0,45.2,0.9,2.5,36.7,0.7,0.9,70.3,0.4,1.3,1.7,0.9,0.3,0.1,0.7,5.1
28,229,Zeke Nnaji,DEN,39,13.2,5.1,2.0,3.5,56.9,0.3,1.0,27.5,0.8,1.3,65.3,1.3,1.0,2.3,0.3,0.3,0.4,0.4,6.0
29,230,Devonte' Graham,NOP,49,15.3,5.1,1.5,4.3,35.7,1.2,3.5,33.9,0.9,1.2,73.7,0.2,1.2,1.5,2.2,0.6,0.2,0.5,6.0
30,231,Garrison Mathews,HOU,42,13.4,4.9,1.4,3.9,35.4,1.2,3.5,34.2,0.9,1.0,92.9,0.2,1.1,1.4,0.5,0.5,0.1,0.4,4.4
31,232,Isaiah Hartenstein,NYK,50,18.4,4.9,2.0,4.2,49.0,0.2,0.7,24.2,0.7,0.9,76.7,2.7,3.4,6.1,0.8,0.6,0.7,0.8,10.0
32,233,Chimezie Metu,SAC,34,10.9,4.9,2.0,3.5,58.0,0.1,0.6,22.7,0.7,0.8,85.2,0.8,2.4,3.1,0.6,0.3,0.2,0.6,7.0
33,234,Thaddeus Young,TOR,39,16.3,4.8,2.2,3.9,55.6,0.1,0.7,15.4,0.4,0.5,73.7,1.5,2.0,3.5,1.5,1.1,0.1,0.8,8.4
34,235,Vlatko Cancar,DEN,36,14.2,4.8,1.8,3.6,49.2,0.8,1.8,45.5,0.4,0.5,94.1,0.4,1.7,2.1,1.2,0.4,0.2,0.7,6.2
35,236,Danuel House Jr.,PHI,34,15.6,4.7,1.6,3.4,47.4,0.7,2.0,34.8,0.8,1.1,75.0,0.2,1.6,1.9,0.7,0.2,0.2,0.5,5.2
